mjd            flux     error
2457517.218558 0.923732 0.0194391
2457517.218620 1.05378 0.020498
2457517.218682 1.05326 0.0203589
2457517.218743 0.939878 0.0194285
2457517.218805 0.77749 0.018115
2457517.218867 0.600404 0.0178052
2457517.218929 0.812721 0.0187653
2457517.218991 0.905623 0.0195482
2457517.219053 1.01134 0.0203315
2457517.219115 1.12437 0.0213087
2457517.219177 1.16828 0.0215985
2457517.219239 1.21777 0.022305
2457517.219301 1.19783 0.0215164
2457517.219363 0.973962 0.0198249
2457517.219425 0.776251 0.0185747
2457517.219487 0.608353 0.0173003
2457517.219548 0.405847 0.0164042
2457517.219610 0.148776 0.0149195
2457517.219672 0.324606 0.0158419
2457517.219734 0.489379 0.0172107
2457517.219796 0.739598 0.018547
2457517.219858 0.962301 0.0201275
2457517.219920 1.0831 0.020983
2457517.219982 1.07457 0.0211631
2457517.220044 1.01455 0.0207073
2457517.220106 0.985919 0.0204461
2457517.220168 0.900547 0.019269
2457517.220230 0.902742 0.0192782
2457517.220291 0.964907 0.0200421
2457517.220353 1.20371 0.0226605
2457517.220415 1.34419 0.0243904
2457517.220477 1.373 0.024607
2457517.220539 1.38783 0.0244034
2457517.220601 1.35889 0.0246599
2457517.220663 1.31826 0.0241751
2457517.220725 1.13098 0.0220849
2457517.220787 0.83208 0.0189587
2457517.220849 0.510568 0.0169178
2457517.220911 0.190418 0.015367
2457517.220973 -0.00207828 0.0148196
2457517.221035 0.207675 0.0156459
2457517.221096 0.504878 0.0173929
2457517.221158 0.72252 0.0189598
2457517.221220 0.968456 0.0204225
2457517.221282 1.06257 0.0207604
2457517.221344 1.09473 0.0220915
2457517.221406 1.09243 0.0220748
2457517.221468 1.09035 0.0220054
2457517.221530 0.875369 0.0197836
2457517.221592 0.701015 0.0178804
2457517.221654 0.945741 0.0207164
2457517.221716 1.09322 0.0222552
2457517.221778 1.21595 0.0227122
2457517.221840 1.36018 0.0246543
2457517.221901 1.36722 0.0247476
2457517.221963 1.31159 0.0240906
2457517.222025 1.18062 0.0227474
2457517.222087 1.08547 0.02123
2457517.222149 0.889253 0.0195369
2457517.222211 0.605834 0.0174681
