mjd            flux     error
2457517.258126 1.24582 0.0276076
2457517.258188 1.40178 0.0291122
2457517.258250 1.58272 0.0321915
2457517.258312 1.4403 0.0292892
2457517.258374 1.48597 0.0305436
2457517.258436 1.32644 0.0268483
2457517.258497 1.33215 0.0271878
2457517.258559 1.45998 0.0296906
2457517.258621 1.62008 0.033372
2457517.258683 1.79609 0.0384137
2457517.258745 1.83332 0.036258
2457517.258807 1.76722 0.0372837
2457517.258869 1.55211 0.0326458
2457517.258931 1.61607 0.0341704
2457517.258993 1.74398 0.0379196
2457517.259055 1.48553 0.0326683
2457517.259117 1.15482 0.0250463
2457517.259179 0.925365 0.0229085
2457517.259241 0.677086 0.0210149
2457517.259302 0.785574 0.0215903
2457517.259364 0.778043 0.0217544
2457517.259426 1.01463 0.0250244
2457517.259488 1.3663 0.0279051
2457517.259550 1.50187 0.0321227
2457517.259612 1.58855 0.0318424
2457517.259674 1.35419 0.0303385
2457517.259736 1.31913 0.0282521
2457517.259798 1.2357 0.0284502
2457517.259860 1.24002 0.0281311
2457517.259922 1.31229 0.0276928
2457517.259984 1.39614 0.0306651
2457517.260046 1.67175 0.0337908
2457517.260107 1.68096 0.0365808
2457517.260169 1.77206 0.0375423
2457517.260231 1.63929 0.0350042
2457517.260293 1.61218 0.0332361
2457517.260355 1.61517 0.0350231
2457517.260417 1.32622 0.027233
2457517.260479 1.07321 0.0240711
2457517.260541 0.981818 0.0224687
2457517.260603 0.847111 0.021802
2457517.260665 0.625398 0.0191484
2457517.260727 0.682575 0.0204876
2457517.260789 0.919171 0.0220903
2457517.260850 1.17507 0.0243668
2457517.260912 1.36986 0.0269833
2457517.260974 1.53268 0.0296915
2457517.261036 1.43477 0.0277458
2457517.261098 1.24168 0.0244523
2457517.261160 1.1467 0.0234191
2457517.261222 1.22802 0.0239172
2457517.261284 1.28573 0.0256576
2457517.261346 1.53259 0.0320889
2457517.261408 1.55462 0.0309088
2457517.261470 1.79863 0.0362186
2457517.261532 1.8505 0.0370837
2457517.261594 1.81571 0.0356747
2457517.261655 1.46355 0.0291226
2457517.261717 1.51327 0.0289316
2457517.261779 1.27783 0.0264903
2457517.261841 1.1336 0.0239962
2457517.261903 0.900388 0.020742
2457517.261965 0.825221 0.0197844
2457517.262027 0.591217 0.0179017
2457517.262089 0.689927 0.0187578
2457517.262151 0.878237 0.0211337
2457517.262213 0.919224 0.0208042
2457517.262275 1.27384 0.0237814
2457517.262337 1.47652 0.0280623
2457517.262399 1.20452 0.0233083
2457517.262460 1.06588 0.0227694
2457517.262522 1.17592 0.0249855
2457517.262584 1.27671 0.0244634
2457517.262646 1.41281 0.0264225
2457517.262708 1.48052 0.0275636
2457517.262770 1.46021 0.0275096
2457517.262832 1.58714 0.0319649
2457517.262894 1.5648 0.030773
2457517.262956 1.47828 0.0306831
2457517.263018 1.52218 0.0278412
2457517.263080 1.4447 0.0285987
2457517.263142 1.45117 0.0267105
2457517.263204 1.16927 0.0224373
2457517.263265 1.05884 0.0208006
2457517.263327 0.851964 0.0185749
2457517.263389 0.526131 0.016287
2457517.263451 0.361613 0.016006
2457517.263513 0.494967 0.0167947
2457517.263575 0.88947 0.0196179
2457517.263637 1.25448 0.0236626
2457517.263699 1.49715 0.0262856
2457517.263761 1.17977 0.0223145
2457517.263823 1.06552 0.0211263
2457517.263885 1.10816 0.0222945
2457517.263947 1.20523 0.0232416
2457517.264009 1.27672 0.0238997
2457517.264070 1.44362 0.0265972
2457517.264132 1.50537 0.0272536
2457517.264194 1.60856 0.0302217
2457517.264256 1.53366 0.028548
2457517.264318 1.53983 0.027257
2457517.264380 1.44227 0.0256544
2457517.264442 1.4204 0.0252094
2457517.264504 1.26731 0.0230187
2457517.264566 1.06232 0.0214313
2457517.264628 0.824896 0.0194942
2457517.264690 0.690706 0.0174469
2457517.264752 0.716877 0.0182519
2457517.264814 0.615022 0.0172941
2457517.264875 0.257942 0.0149111
2457517.264937 0.618022 0.017024
2457517.264999 1.09594 0.0215263
2457517.265061 1.41205 0.0253062
2457517.265123 1.1561 0.0219697
2457517.265185 1.28203 0.0231505
2457517.265247 1.2827 0.0241066
2457517.265309 1.28619 0.0236056
2457517.265371 1.34499 0.023397
2457517.265433 1.45331 0.0248222
2457517.265495 1.48218 0.0257338
2457517.265557 1.4862 0.0272561
2457517.265618 1.35527 0.0231528
2457517.265680 1.34037 0.0242532
2457517.265742 1.31677 0.0245925
2457517.265804 1.34175 0.0252407
2457517.265866 1.15088 0.0228139
2457517.265928 1.0516 0.0215288
2457517.265990 0.864814 0.0190998
2457517.266052 0.563903 0.0172955
2457517.266114 0.484246 0.0170687
2457517.266176 0.481178 0.0167697
2457517.266238 0.35042 0.016212
2457517.266300 0.646197 0.0179103
2457517.266362 0.984552 0.0215546
2457517.266423 1.30445 0.0245145
2457517.266485 1.15626 0.0215175
2457517.266547 1.19389 0.0218258
2457517.266609 1.17523 0.0234494
2457517.266671 1.20091 0.0238777
2457517.266733 1.04222 0.0226206
2457517.266795 1.14674 0.023906
2457517.266857 1.2643 0.0241244
2457517.266919 1.40738 0.0271717
2457517.266981 1.39918 0.0279539
2457517.267043 1.39157 0.0260907
2457517.267105 1.32277 0.0249046
2457517.267167 1.21779 0.021891
2457517.267228 1.13445 0.0209786
2457517.267290 0.910517 0.0188199
2457517.267352 0.846673 0.0199153
2457517.267414 0.682642 0.0181917
2457517.267476 0.506566 0.0172207
2457517.267538 0.382395 0.0151051
2457517.267600 0.0979303 0.0137466
2457517.267662 0.355037 0.0148596
2457517.267724 0.82931 0.0185669
2457517.267786 1.21921 0.0229034
2457517.267848 1.08168 0.0199645
2457517.267910 0.90515 0.0186305
2457517.267972 1.00078 0.0193956
2457517.268033 1.02157 0.0204368
2457517.268095 1.10579 0.0206066
2457517.268157 1.10879 0.0221018
2457517.268219 1.13253 0.0230134
2457517.268281 1.23164 0.0231856
2457517.268343 1.30628 0.0238798
2457517.268405 1.29236 0.0230759
2457517.268467 1.32699 0.0230735
2457517.268529 1.33287 0.0241373
2457517.268591 1.12627 0.0210414
2457517.268653 1.01946 0.0198883
2457517.268715 0.833649 0.0186413
2457517.268777 0.743725 0.0181514
2457517.268838 0.600895 0.017615
2457517.268900 0.547729 0.0175814
2457517.268962 0.295228 0.0162904
2457517.269024 0.544883 0.018054
2457517.269086 0.94144 0.0201895
2457517.269148 1.17485 0.0224231
2457517.269210 1.18015 0.0227434
2457517.269272 1.09864 0.0218275
2457517.269334 1.05863 0.0218119
2457517.269396 1.05236 0.0231624
2457517.269458 1.01984 0.0203327
2457517.269520 1.02755 0.0205574
2457517.269582 1.02496 0.0206241
2457517.269643 1.09794 0.0210052
2457517.269705 1.15429 0.0227873
2457517.269767 1.32777 0.0257501
2457517.269829 1.36728 0.0247491
2457517.269891 1.22354 0.0226399
2457517.269953 1.17439 0.0213665
2457517.270015 0.840712 0.0196393
2457517.270077 0.720488 0.0173943
2457517.270139 0.49039 0.0170477
2457517.270201 0.523629 0.0169832
2457517.270263 -0.0531356 0.014374
2457517.270325 -0.190605 0.0141462
2457517.270386 0.148497 0.0153055
2457517.270448 0.776719 0.0199569
2457517.270510 1.02207 0.0222689
2457517.270572 1.08639 0.0235735
2457517.270634 1.12218 0.0236749
2457517.270696 1.00612 0.0226211
2457517.270758 0.889487 0.0210635
2457517.270820 0.963867 0.0216653
2457517.270882 1.00572 0.0228804
2457517.270944 0.919816 0.0221804
2457517.271006 1.06202 0.0225664
2457517.271068 1.03516 0.0224844
2457517.271130 1.1583 0.0242258
2457517.271191 1.15531 0.025391
2457517.271253 1.1406 0.0243658
2457517.271315 1.06784 0.0236047
2457517.271377 0.872506 0.021123
2457517.271439 0.709564 0.020563
2457517.271501 0.603553 0.0194557
2457517.271563 0.263977 0.0168841
2457517.271625 -0.342647 0.0147199
2457517.271687 -0.388784 0.0147988
2457517.271749 0.0727422 0.0161944
2457517.271811 0.795107 0.0224193
2457517.271873 1.01612 0.0248648
2457517.271935 1.09099 0.0264516
2457517.271996 1.09802 0.027165
2457517.272058 0.978287 0.025567
2457517.272120 0.832463 0.0233095
2457517.272182 0.845736 0.0229969
2457517.272244 0.856261 0.0235136
2457517.272306 0.894086 0.0250285
2457517.272368 0.994619 0.0265069
2457517.272430 1.09845 0.0256712
2457517.272492 1.23922 0.0272401
2457517.272554 1.12037 0.0264867
2457517.272616 1.19773 0.0272734
2457517.272678 1.11138 0.0275986
2457517.272740 0.988347 0.0257205
2457517.272801 0.777421 0.0222269
2457517.272863 0.459501 0.0192247
2457517.272925 0.204113 0.0174797
2457517.272987 -0.176634 0.0155635
2457517.273049 -0.000680543 0.0161879
2457517.273111 0.40461 0.0188184
2457517.273173 0.894103 0.0225955
2457517.273235 1.01743 0.0242951
2457517.273297 1.07624 0.0237664
2457517.273359 0.909834 0.0214665
2457517.273421 0.928188 0.0212048
2457517.273483 0.822163 0.0205839
2457517.273545 0.824678 0.0215827
2457517.273606 0.909372 0.0211062
2457517.273668 0.975131 0.0231532
2457517.273730 1.03763 0.0239088
2457517.273792 0.988161 0.0232265
2457517.273854 1.09502 0.026029
2457517.273916 1.12618 0.025963
2457517.273978 1.12073 0.0260015
2457517.274040 1.04771 0.0276068
2457517.274102 0.819083 0.0231112
2457517.274164 0.63188 0.0219045
2457517.274226 0.30181 0.0192047
2457517.274288 0.059617 0.0164267
2457517.274350 -0.21079 0.0149761
2457517.274411 -0.24273 0.0140989
2457517.274473 0.11308 0.0152205
2457517.274535 0.614364 0.0186607
2457517.274597 0.928218 0.0217838
2457517.274659 0.958032 0.021902
2457517.274721 0.904453 0.0213075
2457517.274783 0.817575 0.020565
2457517.274845 0.820319 0.0202126
2457517.274907 0.716526 0.0192927
2457517.274969 0.551193 0.0178269
2457517.275031 0.620121 0.0182218
2457517.275093 0.671681 0.0186587
2457517.275155 0.615026 0.0186933
2457517.275216 0.951669 0.0215386
2457517.275278 1.05914 0.0224615
2457517.275340 1.07999 0.0228754
2457517.275402 0.991719 0.0224228
2457517.275464 0.867205 0.0211646
2457517.275526 0.607427 0.0185524
2457517.275588 0.427098 0.018043
2457517.275650 0.0819166 0.0162941
2457517.275712 0.0448683 0.016031
2457517.275774 -0.153929 0.0155452
2457517.275836 0.354888 0.017176
2457517.275898 0.608701 0.0200894
2457517.275959 0.876407 0.0214187
2457517.276021 0.987694 0.0223969
2457517.276083 0.854194 0.0219689
2457517.276145 0.821404 0.0208913
2457517.276207 0.767861 0.0204499
2457517.276269 0.609458 0.0190937
2457517.276331 0.565485 0.0184301
2457517.276393 0.556049 0.0178852
2457517.276455 0.680657 0.0191
2457517.276517 0.854499 0.0198595
2457517.276579 1.04064 0.0214118
2457517.276641 1.02313 0.0219109
2457517.276703 0.956582 0.0218897
2457517.276764 0.945717 0.0221186
2457517.276826 0.777276 0.0204275
2457517.276888 0.539038 0.0181148
2457517.276950 0.221449 0.0158787
2457517.277012 0.11447 0.0157333
2457517.277074 -0.201009 0.0141194
2457517.277136 -0.414876 0.0136954
2457517.277198 -0.0743338 0.0144174
2457517.277260 0.536522 0.0178139
2457517.277322 0.843726 0.0198483
2457517.277384 0.928637 0.0203456
2457517.277446 0.822135 0.0201676
2457517.277508 0.767909 0.0197976
2457517.277569 0.743097 0.0194019
2457517.277631 0.651597 0.0191131
2457517.277693 0.50452 0.0181718
2457517.277755 0.558999 0.0185028
2457517.277817 0.571131 0.0183299
2457517.277879 0.818954 0.020706
2457517.277941 0.938107 0.0225952
2457517.278003 0.993751 0.023234
2457517.278065 1.00784 0.0224823
2457517.278127 0.942047 0.0224488
2457517.278189 0.809924 0.0211734
2457517.278251 0.527392 0.0182694
2457517.278313 0.200936 0.0166019
2457517.278374 0.085712 0.0157495
2457517.278436 -0.177525 0.0142931
2457517.278498 -0.456929 0.013374
2457517.278560 0.0321286 0.015708
2457517.278622 0.543698 0.0183082
2457517.278684 0.765476 0.0200286
2457517.278746 0.911328 0.0217068
2457517.278808 0.765259 0.0211112
2457517.278870 0.784509 0.0212932
2457517.278932 0.648882 0.0192217
2457517.278994 0.404542 0.0170812
2457517.279056 0.144976 0.0159897
2457517.279118 0.254474 0.0164248
2457517.279179 0.439373 0.0175392
2457517.279241 0.637471 0.0198932
2457517.279303 0.7172 0.0206172
2457517.279365 0.842898 0.0213481
2457517.279427 0.8501 0.0210416
2457517.279489 0.832919 0.0218118
2457517.279551 0.667456 0.0208922
2457517.279613 0.405942 0.0182732
2457517.279675 0.0278426 0.0156369
2457517.279737 -0.112088 0.0155715
2457517.279799 -0.877783 0.0136959
2457517.279861 -0.860786 0.0131254
2457517.279923 -0.315316 0.0143726
2457517.279984 0.365198 0.0176114
2457517.280046 0.640113 0.0198912
2457517.280108 0.654488 0.0207812
2457517.280170 0.638677 0.0198036
2457517.280232 0.574985 0.018784
2457517.280294 0.592841 0.0190575
2457517.280356 0.476779 0.0283976
2457517.281842 0.102033 0.0162407
2457517.281904 0.235939 0.0172205
2457517.281966 0.546604 0.0187345
2457517.282028 0.530106 0.018931
2457517.282090 0.613384 0.0189008
2457517.282152 0.587047 0.0186178
2457517.282214 0.543967 0.0188887
2457517.282276 0.469892 0.0184708
2457517.282337 0.235042 0.016835
2457517.282399 0.111165 0.016132
2457517.282461 -0.148836 0.0154622
2457517.282523 -0.543751 0.0137831
2457517.282585 -0.616203 0.0133361
2457517.282647 -0.288071 0.0152126
2457517.282709 0.0782242 0.0164086
2457517.282771 0.290723 0.0169066
2457517.282833 0.467484 0.0184899
2457517.282895 0.501194 0.0194284
2457517.282957 0.553698 0.0188806
2457517.283019 0.399791 0.019212
2457517.283081 0.366249 0.018479
2457517.283142 0.250158 0.0175583
2457517.283204 -0.00427372 0.0163166
2457517.283266 0.216733 0.0168868
2457517.283328 0.506161 0.018389
2457517.283390 0.521468 0.0187115
2457517.283452 0.492213 0.0188513
2457517.283514 0.529445 0.0203607
2457517.283576 0.516457 0.0190163
2457517.283638 0.513081 0.0199599
2457517.283700 0.352964 0.0177089
2457517.283762 0.0215748 0.0162446
2457517.283824 -0.226562 0.0155011
2457517.283886 -0.471646 0.0154672
2457517.283947 -0.66079 0.0149651
2457517.284009 -0.25496 0.0156829
2457517.284071 0.197294 0.0179843
2457517.284133 0.423434 0.0183175
2457517.284195 0.492977 0.0185733
2457517.284257 0.482913 0.0180493
2457517.284319 0.464606 0.0185253
2457517.284381 0.371807 0.0178232
2457517.284443 0.333905 0.0175599
2457517.284505 0.0101008 0.0158558
2457517.284567 0.0341861 0.0158193
2457517.284629 0.23997 0.0170924
2457517.284691 0.372468 0.0176536
2457517.284752 0.431034 0.0187332
2457517.284814 0.560148 0.0187971
2457517.284876 0.522429 0.0195095
2457517.284938 0.50935 0.0197427
2457517.285000 0.477194 0.0198262
2457517.285062 0.310131 0.0178409
2457517.285124 0.0790121 0.0169798
2457517.285186 -0.228059 0.0150826
2457517.285248 -0.45283 0.0141172
2457517.285310 -0.62003 0.0136564
2457517.285372 -0.375204 0.0140975
2457517.285434 -0.0899344 0.016038
2457517.285495 0.199418 0.0174223
2457517.285557 0.288242 0.0179269
2457517.285619 0.360942 0.0175202
2457517.285681 0.393132 0.017572
2457517.285743 0.289929 0.0173788
2457517.285805 0.190451 0.01736
2457517.285867 0.0697291 0.016735
2457517.285929 -0.0181326 0.0167106
2457517.285991 0.148057 0.0172832
2457517.286053 0.345919 0.0179767
2457517.286115 0.471352 0.0185991
2457517.286177 0.428847 0.0194109
2457517.286239 0.493873 0.0199912
2457517.286300 0.428698 0.0192406
2457517.286362 0.37304 0.0194579
2457517.286424 0.0623734 0.0169164
2457517.286486 -0.259038 0.0156493
2457517.286548 -0.699382 0.0139521
2457517.286610 -1.00047 0.0133786
2457517.286672 -1.23973 0.0129781
2457517.286734 -0.568635 0.0146264
2457517.286796 0.0151503 0.0165858
2457517.286858 0.169323 0.0177092
2457517.286920 0.263091 0.0176476
2457517.286982 0.303203 0.0185947
2457517.287044 0.356728 0.0178399
2457517.287105 0.312435 0.0174067
2457517.287167 0.209169 0.0167295
2457517.287229 -0.0633671 0.0155353
2457517.287291 -0.105022 0.014671
2457517.287353 0.0850155 0.0160379
2457517.287415 0.300466 0.0171051
2457517.287477 0.431183 0.018404
2457517.287539 0.458696 0.0191525
2457517.287601 0.439371 0.018377
2457517.287663 0.368731 0.0179989
2457517.287725 0.342901 0.0185974
2457517.287787 0.159129 0.0176178
2457517.287849 -0.152722 0.0154218
2457517.287910 -0.423067 0.0151726
2457517.287972 -0.806376 0.0136153
2457517.288034 -0.960102 0.0138713
2457517.288096 -0.768026 0.0141763
2457517.288158 -0.225961 0.0148706
2457517.288220 0.145877 0.01761
2457517.288282 0.277512 0.0175517
2457517.288344 0.300681 0.0174119
2457517.288406 0.303579 0.0180007
2457517.288468 0.275596 0.0174795
2457517.288530 0.0683221 0.0158773
2457517.288592 -0.0783575 0.0154433
2457517.288654 -0.166826 0.0155838
2457517.288715 0.0104975 0.0161191
2457517.288777 0.248694 0.0178263
2457517.288839 0.324361 0.0183418
2457517.288901 0.359833 0.0180302
2457517.288963 0.306334 0.0177335
2457517.289025 0.374491 0.0175143
2457517.289087 0.255433 0.0177071
2457517.289149 0.158551 0.0169893
2457517.289211 -0.164926 0.0152837
2457517.289273 -0.429198 0.0143093
2457517.289335 -0.666575 0.013283
2457517.289397 -0.774909 0.0134691
2457517.289459 -0.716912 0.0138878
2457517.289520 -0.214499 0.0160018
2457517.289582 0.0922655 0.0173592
2457517.289644 0.220044 0.0177393
2457517.289706 0.245107 0.0184844
2457517.289768 0.254652 0.017975
2457517.289830 0.232219 0.0171628
2457517.289892 0.148914 0.0174265
2457517.289954 0.0335297 0.0163781
2457517.290016 -0.107109 0.0159557
2457517.290078 -0.0400697 0.0169556
2457517.290140 0.184072 0.0188791
2457517.290202 0.271905 0.0172879
2457517.290264 0.281081 0.0181199
2457517.290325 0.254467 0.0180731
2457517.290387 0.196273 0.0169561
2457517.290449 0.164642 0.0164123
2457517.290511 0.124222 0.0167453
2457517.290573 -0.193442 0.014875
2457517.290635 -0.441814 0.0141333
2457517.290697 -0.608493 0.0135562
2457517.290759 -0.910005 0.0130679
2457517.290821 -0.40343 0.0143668
2457517.290883 -0.0298888 0.0161288
2457517.290945 0.135665 0.0163902
2457517.291007 0.212151 0.0161652
2457517.291068 0.279047 0.0165654
2457517.291130 0.262808 0.0163055
2457517.291192 0.251019 0.0160714
2457517.291254 0.13674 0.0157543
2457517.291316 -0.128253 0.0151042
2457517.291378 -0.383921 0.0138563
2457517.291440 -0.144119 0.0148062
2457517.291502 0.122518 0.0159052
2457517.291564 0.243499 0.0165712
2457517.291626 0.274318 0.0164805
2457517.291688 0.292955 0.0166925
2457517.291750 0.296423 0.0166907
2457517.291812 0.250882 0.0162609
2457517.291873 0.109757 0.0156276
2457517.291935 -0.375269 0.0143805
2457517.291997 -0.658961 0.0134321
2457517.292059 -0.975957 0.0130076
2457517.292121 -1.022 0.0127394
2457517.292183 -0.636566 0.0133654
2457517.292245 -0.143496 0.0148612
2457517.292307 0.150991 0.0157153
2457517.292369 0.178692 0.0157972
2457517.292431 0.153753 0.0158049
2457517.292493 0.161141 0.0159662
2457517.292555 0.0423885 0.0154152
2457517.292617 -0.19179 0.0145976
2457517.292678 -0.218623 0.0141718
2457517.292740 -0.313035 0.0139479
2457517.292802 -0.116822 0.0146004
2457517.292864 0.0832041 0.0159259
2457517.292926 0.201761 0.0159221
2457517.292988 0.26015 0.0157497
2457517.293050 0.244363 0.015863
2457517.293112 0.267334 0.0159949
2457517.293174 0.214684 0.0153414
2457517.293236 0.0431949 0.0148616
2457517.293298 -0.259998 0.0139835
2457517.293360 -0.5317 0.0129718
2457517.293422 -0.804916 0.0125354
2457517.293483 -0.634073 0.0128089
2457517.293545 -0.435064 0.0133065
2457517.293607 -0.130017 0.013906
2457517.293669 0.043187 0.0142757
2457517.293731 0.110123 0.0149588
2457517.293793 0.131521 0.0155117
2457517.293855 0.18321 0.0155246
2457517.293917 0.110172 0.0150801
2457517.293979 -0.122809 0.0144621
2457517.294041 -0.201279 0.0142172
2457517.294103 -0.427884 0.0134844
2457517.294165 -0.200431 0.0144071
2457517.294227 0.0382216 0.0149916
2457517.294288 0.154075 0.015442
2457517.294350 0.17889 0.0156527
2457517.294412 0.168457 0.0158184
2457517.294474 0.174151 0.0157548
2457517.294536 0.155434 0.0152248
2457517.294598 0.00358994 0.0144306
2457517.294660 -0.338234 0.0129512
2457517.294722 -0.727298 0.0125206
2457517.294784 -0.989811 0.0122467
2457517.294846 -0.896237 0.0119026
2457517.294908 -0.582065 0.012657
2457517.294970 -0.174791 0.0134812
2457517.295032 -0.0164443 0.0146544
2457517.295093 0.100818 0.0151812
2457517.295155 0.143176 0.0155901
2457517.295217 0.123565 0.0157917
2457517.295279 -0.00287123 0.014356
2457517.295341 -0.0921878 0.0139709
2457517.295403 -0.302145 0.0132239
2457517.295465 -0.401655 0.0126944
2457517.295527 -0.206958 0.0133728
2457517.295589 0.0399122 0.0144443
2457517.295651 0.129682 0.0148307
2457517.295713 0.13606 0.0146052
2457517.295775 0.144277 0.0148098
2457517.295836 0.115037 0.0144552
2457517.295898 0.0688472 0.0143507
2457517.295960 -0.0675887 0.0140383
2457517.296022 -0.296873 0.013162
2457517.296084 -0.808583 0.0120672
2457517.296146 -0.836384 0.0121023
2457517.296208 -0.767239 0.0124285
2457517.296270 -0.506978 0.012727
2457517.296332 -0.312401 0.0136733
2457517.296394 -0.122157 0.0139632
2457517.296456 -0.0440366 0.0142838
2457517.296518 0.00427208 0.0144427
2457517.296580 -0.00278026 0.0141737
2457517.296641 -0.00706789 0.0139876
2457517.296703 -0.106763 0.0140529
2457517.296765 -0.265844 0.0134716
2457517.296827 -0.584142 0.0131408
2457517.296889 -0.374368 0.0140326
2457517.296951 -0.0949977 0.0144937
2457517.297013 -0.0683618 0.0144255
2457517.297075 0.00796041 0.0141201
2457517.297137 -0.0377652 0.0140661
2457517.297199 -0.0254052 0.0139282
2457517.297261 -0.0599615 0.0142376
2457517.297323 -0.190219 0.0136704
2457517.297385 -0.509046 0.0124231
2457517.297446 -0.752585 0.0116429
2457517.297508 -0.870108 0.0118129
2457517.297570 -0.864882 0.0120827
2457517.297632 -0.603499 0.0127228
2457517.297694 -0.34296 0.0132997
2457517.297756 -0.231666 0.0137319
2457517.297818 -0.132384 0.0135003
2457517.297880 -0.0955019 0.0141225
2457517.297942 -0.062902 0.0138405
2457517.298004 -0.0721294 0.0137084
2457517.298066 -0.154049 0.013743
2457517.298128 -0.340445 0.0130184
2457517.298190 -0.532326 0.0125135
2457517.298251 -0.342664 0.0128927
2457517.298313 -0.110442 0.0139033
2457517.298375 0.00724645 0.0141058
2457517.298437 -0.00520987 0.0142027
2457517.298499 0.00707376 0.0141247
2457517.298561 -0.0167715 0.0138977
2457517.298623 -0.0318864 0.0138201
2457517.298685 -0.1698 0.0133774
2457517.298747 -0.453179 0.0124769
2457517.298809 -0.823059 0.012009
2457517.298871 -0.925677 0.0118396
2457517.298933 -0.860776 0.0121616
2457517.298995 -0.735929 0.0124042
2457517.299056 -0.390204 0.0129868
2457517.299118 -0.285464 0.0132442
2457517.299180 -0.175018 0.0134358
2457517.299242 -0.110719 0.0141075
2457517.299304 -0.125317 0.0136393
2457517.299366 -0.158536 0.0134616
2457517.299428 -0.256787 0.0130768
2457517.299490 -0.412469 0.012583
2457517.299552 -0.45808 0.0125618
2457517.299614 -0.274064 0.0129745
2457517.299676 -0.101073 0.0132594
2457517.299738 -0.0414992 0.0136781
2457517.299800 -0.0138296 0.0138593
2457517.299861 0.0058996 0.0143246
2457517.299923 -0.00133463 0.0139518
2457517.299985 0.0248458 0.013877
2457517.300047 -0.119942 0.0133148
2457517.300109 -0.3884 0.0127259
2457517.300171 -0.621868 0.0120328
2457517.300233 -0.847512 0.0114676
2457517.300295 -0.935729 0.0112481
2457517.300357 -0.733694 0.0116743
2457517.300419 -0.455696 0.012891
2457517.300481 -0.284535 0.0126176
2457517.300543 -0.198233 0.0125543
2457517.300604 -0.102542 0.0128502
2457517.300666 -0.105564 0.012878
2457517.300728 -0.143243 0.0129041
2457517.300790 -0.275575 0.0125414
2457517.300852 -0.516896 0.011864
2457517.300914 -0.668853 0.0115691
2457517.300976 -0.468869 0.0120142
2457517.301038 -0.145124 0.0128048
2457517.301100 -0.0860006 0.0130364
2457517.301162 -0.0186845 0.0130977
2457517.301224 -0.0472035 0.0129505
2457517.301286 -0.0613784 0.0129782
2457517.301348 -0.0795882 0.0129185
2457517.301409 -0.212048 0.0130116
2457517.301471 -0.542498 0.0119533
2457517.301533 -0.7638 0.0116999
2457517.301595 -0.919286 0.0112521
2457517.301657 -0.840821 0.0114136
2457517.301719 -0.643796 0.0116728
2457517.301781 -0.418143 0.0122493
2457517.301843 -0.234994 0.0129948
2457517.301905 -0.161086 0.0130507
2457517.301967 -0.146436 0.0130253
2457517.302029 -0.136078 0.0135374
2457517.302091 -0.159457 0.0134329
2457517.302153 -0.327431 0.0124483
2457517.302214 -0.584881 0.0120004
2457517.302276 -0.573594 0.0123629
2457517.302338 -0.434136 0.0123592
2457517.302400 -0.261888 0.0130101
2457517.302462 -0.128431 0.0136846
2457517.302524 -0.031395 0.0135913
2457517.302586 -0.0222921 0.0138311
2457517.302648 -0.00394166 0.013752
2457517.302710 -0.0288933 0.013126
2457517.302772 -0.137696 0.0127844
2457517.302834 -0.374155 0.0124086
2457517.302896 -0.710457 0.0118213
2457517.302958 -0.880613 0.0113179
2457517.303019 -0.971506 0.0112808
2457517.303081 -0.672438 0.0115934
2457517.303143 -0.438079 0.0122997
2457517.303205 -0.306638 0.0124169
2457517.303267 -0.22584 0.0128669
2457517.303329 -0.170042 0.0134916
2457517.303391 -0.14574 0.0132697
2457517.303453 -0.178743 0.0131175
2457517.303515 -0.43781 0.0124116
2457517.303577 -0.721924 0.0119342
2457517.303639 -0.663487 0.0118641
2457517.303701 -0.487982 0.0123838
2457517.303763 -0.252336 0.0127937
2457517.303824 -0.159989 0.0132935
2457517.303886 -0.0707844 0.0130939
2457517.303948 -0.00733645 0.0136137
2457517.304010 -0.061602 0.0134404
2457517.304072 -0.0654953 0.0136126
2457517.304134 -0.138206 0.012943
2457517.304196 -0.667948 0.0116247
2457517.304258 -0.988647 0.0111334
2457517.304320 -0.986947 0.0111021
2457517.304382 -0.979967 0.0112532
2457517.304444 -0.764992 0.0116638
2457517.304506 -0.486427 0.0123358
2457517.304568 -0.332386 0.012656
2457517.304629 -0.251901 0.0125728
2457517.304691 -0.199411 0.012807
2457517.304753 -0.197071 0.0131582
2457517.304815 -0.234088 0.0128405
2457517.304877 -0.448636 0.0122455
2457517.304939 -0.546494 0.012153
2457517.305001 -0.547225 0.0119944
2457517.305063 -0.443123 0.0123464
2457517.305125 -0.295619 0.01267
2457517.305187 -0.205087 0.0129049
2457517.305249 -0.157853 0.0132487
2457517.305311 -0.0823131 0.013344
2457517.305373 -0.0883221 0.0132492
2457517.305434 -0.113163 0.0133811
2457517.305496 -0.152986 0.0129643
2457517.305558 -0.395019 0.0122371
2457517.305620 -0.596602 0.0120546
2457517.305682 -0.789228 0.0114852
2457517.305744 -0.871427 0.0111465
2457517.305806 -0.662696 0.0115892
2457517.305868 -0.453523 0.0120805
2457517.305930 -0.37656 0.0121981
2457517.305992 -0.255761 0.0123599
2457517.306054 -0.231281 0.0126353
2457517.306116 -0.170754 0.0127573
2457517.306177 -0.234741 0.0126386
2457517.306239 -0.482031 0.0125956
2457517.306301 -0.571919 0.0123052
2457517.306363 -0.620182 0.0122113
2457517.306425 -0.541213 0.0129358
2457517.306487 -0.345739 0.0141362
2457517.306549 -0.163456 0.0145819
2457517.306611 -0.162872 0.0146026
2457517.306673 -0.12975 0.0139892
